tiktok_link,tiktok_description,tiktok_hashtag,username,tiktok_views,tiktok_views_full,posted_date_original,posted_date,tiktok_image,extracted_date
https://www.tiktok.com/@saje_sembang/video/7203657046678342938,cerita kwsp di belanjawan 2023 #kwspbersasar  #kwsp2023  #kwsp50koneoff  #sajesembang  #kwsp2022  ,#kwspbersasar #kwsp2023 #kwsp50koneoff #sajesembang #kwsp2022,saje_sembang,243.2K,243200,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o0WIE3xDreJbwdngDgBI9QheIArHpQngLqeGeE?x-expires=1677448800&x-signature=1xYYerTG2B12dQ6zTbK%2FSSelRDc%3D,2023-02-27
https://www.tiktok.com/@xtra_my/video/7203669755503349018,"Rakyat berumur 40 - 54 tahun (dengan simpanan KWSP kurang RM10 ribu di Akaun 1), Kerajaan akan menambah caruman simpanan KWSP Akaun 1 sebanyak RM500. Program ini memanfaatkan hampir 2 juta ahli KWSP. #Belanjawan2023TV3  #xtra  #xtramy  #kwsp  ",#Belanjawan2023TV3 #xtra #xtramy #kwsp,xtra_my,242.1K,242100,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/b6af5e36735246de8eca007f464d304f_1677235074?x-expires=1677448800&x-signature=BLwdm2kY%2Bb%2FjUOavCdX6J8DBGfo%3D,2023-02-27
https://www.tiktok.com/@selangortv/video/7203692112775351578,"""Wang Ehsan Kelantan dan Terengganu disalur secara terus, bantu golongan miskin tegar"" - PM Anwar Ibrahim  #Belanjawan2023  #MalaysiaMadani  #anwaribrahim  ",#Belanjawan2023 #MalaysiaMadani #anwaribrahim,selangortv,233.7K,233700,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/dac3cf78f20845719c284ebb589ac3b5_1677240280~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/bfa43c04c1ef4b4b9910835a99eaf3a5.image?x-expires=1677448800&x-signature=HrCxR78%2BV8uc3FRVQnBEJf6Gp%2FU%3D,2023-02-27
https://www.tiktok.com/@jason.yew/video/7203733887514791194,Pengeluaran KWSP oleh T20 akan menjejaskan dividen kepada B40 #kwsp  #kwspbersasar2  #belanjawan2023  #fahmifadzil  #kkd  #KEADILANuntukSemua  #foryou  ,#kwsp #kwspbersasar2 #belanjawan2023 #fahmifadzil #kkd #KEADILANuntukSemua #foryou,jason.yew,232.3K,232300,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/512e72fb1a19475a85b1933cef7939b7_1677250023?x-expires=1677448800&x-signature=KsDjT%2BAtaOJkv6v8IciksdBGbe8%3D,2023-02-27
https://www.tiktok.com/@pirlosophy/video/7203715281489874203,"Replying to @mohdnasir1840  BUKAN LESEN FREE, TAPI UJIAN MEMANDU SHJ YANG FREE #belanjawan2023  ",#belanjawan2023,pirlosophy,232K,232000,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/a5798fb8c04b4022913e7667b7016498_1677245673?x-expires=1677448800&x-signature=o6bWtQY58ZxWsdfzmLhgPJ745D4%3D,2023-02-27
https://www.tiktok.com/@beritaalhijrah114/video/7203922856814644506,"Bantuan Tunai Rahmah, miskin tegar terima sumbangan maksimum RM3,100 #beritaalhijrah  #beritaditiktok  #trendingnewsmalaysia  #belanjawan2023  #malaysiamadani  #anwaribrahim  #bantuantunairahmah  ",#beritaalhijrah #beritaditiktok #trendingnewsmalaysia #belanjawan2023 #malaysiamadani #anwaribrahim #bantuantunairahmah,beritaalhijrah114,199.2K,199200,1d ago ,2023-02-26,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/bf5ca7e95c7b46d88c714bf7f0278f35_1677294016?x-expires=1677448800&x-signature=nI0KF9jk0cxoZLaD4ZQdHPhaHqA%3D,2023-02-27
https://www.tiktok.com/@mykhabar/video/7203656670382214427,Replying to @brebundle2  #FreeLicense  #belanjawan2023baru  #malaysiamadani🤲  ,#FreeLicense #belanjawan2023baru #malaysiamadani,mykhabar,198.6K,198600,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/osWTdtzhEfANIgBfaAhPUhCyDPERtV54jD5rQp?x-expires=1677448800&x-signature=u2%2BlkaeWs3VWk5Ns671Qd6Rz3LU%3D,2023-02-27
https://www.tiktok.com/@hishammuddinh2o/video/7203691039406738715,"Reaksi awal saya selepas #Belanjawan2023  - berkenaan kos sara hidup, saya lihat subsidi tahun ini RM64 bilion. Seingat saya, tahun lepas RM70 bilion. Persoalannya, subsidi mana dikurangkan dan harga apa yang akan meningkat? Rakyat perlu tahu.  Kedua, lega aspek perumahan anggota ATM diberi tumpuan dan perolehan LMS Fasa Kedua seperti kita rancang dulu diumumkan. Banyak hendak dikupas, insyaAllah nanti saya perincikan lebih lanjut dalam sesi perbahasan! #Malaysia  #Sembrong  #SembrongKita  #fypシ゚  #fyp  #fypviralシ  #fypviral  #fypシ゚viral  #Johor  #BarisanNasional  #NotTheEnd  #Perjuangan  #DewanRakyat  #Parlimen  #ParlimenMalaysia  #AhliParlimen  #KosSaraHidup  #AngkatanTenteraMalaysia  #Subsidi  #Pertahanan  ",#Belanjawan2023 #Malaysia #Sembrong #SembrongKita #fyp #fyp #fypviral #fypviral #fyp #Johor #BarisanNasional #NotTheEnd #Perjuangan #DewanRakyat #Parlimen #ParlimenMalaysia #AhliParlimen #KosSaraHidup #AngkatanTenteraMalaysia #Subsidi #Pertahanan,hishammuddinh2o,193.3K,193300,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/tos-useast2a-p-0037-aiso/c53c0ba8eed44fdfa629f57528bdcb95_1677240052~tplv-dmt-logom:tos-useast2a-pv-0037-aiso/c5df995c72fd4daabbe943898c0a741a.image?x-expires=1677448800&x-signature=%2BEDHxR1L7yoUTUjMgOg0CBt3NK8%3D,2023-02-27
https://www.tiktok.com/@radiotelevisyenmalaysia/video/7203669417769585946,YAB Perdana Menteri menunjukkan keprihatinan kepada golongan miskin tegar ❤️ #MalaysiaMadani  #Belanjawan2023RTM  #Belanjawan2023  #RTMKlik  ,#MalaysiaMadani #Belanjawan2023RTM #Belanjawan2023 #RTMKlik,radiotelevisyenmalaysia,192.2K,192200,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/1dddc96dfef041038eeec7bcac3ef20d_1677234993?x-expires=1677448800&x-signature=9GGBy0%2FvLUMnBAHzArJOsbhB2rk%3D,2023-02-27
https://www.tiktok.com/@ohbulanofficial/video/7203680906803137818,Kerajaan akan menambah caruman simpanan KWSP Akaun 1 sebanyak RM500. #Belanjawan2023TV3  #OhBulan  ,#Belanjawan2023TV3 #OhBulan,ohbulanofficial,176.8K,176800,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/ogEt4HAE6EJbLgreLJIA3eDG2nn4YeBGYbJPae?x-expires=1677448800&x-signature=lS3f39YmyRcKkjDisOay5W2n7o0%3D,2023-02-27
https://www.tiktok.com/@buletintv3/video/7203656960162516225,BELANJAWAN 2023 | M40 Dapat Pengurangan Kadar Cukai Pendapatan Individu,#,buletintv3,168.6K,168600,2d ago ,2023-02-25,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/o4CxwSAebAIpegH8BnrH9JCiEDDgeE64UI9QbQ?x-expires=1677448800&x-signature=cUBM4ezAEP5UAbms1jikOgeOHPY%3D,2023-02-27
https://www.tiktok.com/@perikatannasionalgerik/video/7203648292083846427,Pembentangan Belanjawan 2023  #gerik  #gerikperak  #huluperak  #parlimengerik  #parlimenmalaysia  #KearahGerikBaharu  #belanjawan2023  ,#gerik #gerikperak #huluperak #parlimengerik #parlimenmalaysia #KearahGerikBaharu #belanjawan2023,perikatannasionalgerik,161.3K,161300,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/90512b1027f34feab51c4bb21500b272_1677230126?x-expires=1677448800&x-signature=btlErqLnwpWKC5R0ExqDK5Hg6Sg%3D,2023-02-27
https://www.tiktok.com/@sinar_my/video/7203692072874937605,Demam Belanjawan 2023 punya pasal 😂 Masing-masing tengah buat kira-kira tu nak susun bajet kewangan tahun ni. #DuoSINAR  #DuoSINARBersamaErraFazira  #Belanjawan2023  ,#DuoSINAR #DuoSINARBersamaErraFazira #Belanjawan2023,sinar_my,159.3K,159300,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/tos-maliva-p-0068/a4fa4176240a4028861f8a40f8ada861_1677240269~tplv-dmt-logom:tos-useast2a-v-0068/37fbd37b57de4b79a6b724eadd70f69a.image?x-expires=1677448800&x-signature=xrdRRH0303G7AZ9TZ2WhU7lhuzg%3D,2023-02-27
https://www.tiktok.com/@jason.yew/video/7203655404281154843,PM Anwar dapat sokongan 222 Ahli Parlimen untuk membanteras rasuah #belanjawan2023  #MalaysiaMADANI  #PMX  #anwaribrahim  #KEADILANuntukSemua  #foryou  ,#belanjawan2023 #MalaysiaMADANI #PMX #anwaribrahim #KEADILANuntukSemua #foryou,jason.yew,158.8K,158800,2d ago ,2023-02-25,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/959e6d55e7a34a9e9ebc7e1eea36f812_1677231758?x-expires=1677448800&x-signature=f8OSvqacqoPez5lgv8NvSn8YFPI%3D,2023-02-27
