comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
rafizi terbaek cepat menyelesaikn masalah rakyat demi negara Malaysia tercinta aminnnnn,@mickeytakata,Mickeytakata ,0,0,2022-11-27,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
rafizi ni masa covid haritu senyap sunyi..siap kluar kenyataan nk bersara dri dunia politik tgk2 pru15 jd calon pulak😂,@ur_cocopie,sweet cocopie ,1,0,2022-11-27,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"syed saddiq really shine,outspoken,ada charisma,a leader walaupun muda,bila umur dia berunur fak mustahil dia akan sgt berjaya",@lovebyputeri,scarlettlynn ,0,0,2022-11-27,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
hok blkg citer tulah dpn citer....org muda dh pandai nilai,@sultanhh220,sultan hh ,0,0,2022-11-27,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
lps ni kena buat keja kita tengok je?,@anjesofiaa,baby anje ,0,0,2022-11-26,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
betul. anuar tidak boleh lupa perjuangan dia. 🥺🥺🥺,@lfyied,Lfyied ,0,0,2022-11-26,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
cemerlang 🥰,@ruzi1963,ruzi1963 ,0,0,2022-11-26,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
syed syadiq..mungkin Adam Adli 1 hari nnti,@ewjatjelah,ewjat jelah ,0,0,2022-11-26,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
dia kalo ckp..dia siap ada bukti,@salmiqarmila3,hamstercute$ ,0,0,2022-11-26,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
he is thinker,@miahusin_,miahusin_ ,0,0,2022-11-26,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
SS DAN KJ,@fnynatureshop,KAK YATI ,0,0,2022-11-25,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
sbb Rafizi aku undi pn slamanya ..urrraaa,@mr_loneranger06,GeNJI@SeRiZaWa ,0,0,2022-11-25,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Rafizi pon sye suke die sbb die usahawan berjaya,@phittewan.nadia,Phittewan.nadia ,0,0,2022-11-24,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
TAHNIAH DSAI PM10,@fullswing09,FULL SWING ,0,0,2022-11-24,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
bercakap apa shj.. betul atau tidak belakang kira🤔🤨🙃,@imza0252,Triple Aes272 ,0,0,2022-11-23,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
saya suka si mat gst..mat pantun..,@skywalker48,skywalker ,0,0,2022-11-23,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Rr the best,@entheran_14,Entheran_14 ,0,0,2022-11-22,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
setuju .rafizi mmg org muda suka dia,@azrulrusli,Azrul Rusli ,0,0,2022-11-21,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
kau ni bang semualah kau sokong 😂😂,@mamakmalbari,FAIZAL BIN YUNUS ,1,0,2022-11-21,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
bos start up ni. Bayangkan dia jd menteri. Boleh menjana ekonomi negara.,@ramendakiyek,라멘다 ,1,0,2022-11-21,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
saya dimaklumkan... hahahahhaha,@pit_317s,Pit ,0,0,2022-11-20,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Tetap konsisten👍 sama dengan dato' sri Anwar👍,@syafiqarfa,𝑺𝒀𝑨𝑭𝑰𝑸 ,0,0,2022-11-20,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"tk pernah dengar dia, tau kj je",@ahshan057,Shan05 ,0,0,2022-11-20,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
support,@nurlin_lau88,nurlin_lau88 ,0,0,2022-11-20,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
kalau shahidan kekuatan dia pada khidmat kpd rakyat,@lev_acker,PU Levi ,0,0,2022-11-20,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Rafizi is a dominant fighter in politic...,@vister812,Vister Telasa ,2,0,2022-11-19,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Adik beradik ustaz madi ni idea baru nur 4,@solehin_c,CEO 🤸🏻‍♂️TYPO📸 ,0,0,2022-11-19,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Kjp jr lps pru hilang lgi,@ziqq.lyy,Aisbatu ,0,0,2022-11-19,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
biasa2 je,@nmdwbl,maman ,0,0,2022-11-19,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Pahala dosa no 2.,@crocoraff,crocoraff ,2,0,2022-11-19,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
setuju. cakap dia berfakta tu,@chedet66,chedet66 ,2,0,2022-11-19,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Rafizi adalah DSAI junior. Berani kerana benar!,@shadila_1102,ShaDila ,2,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Hauuu dok berehi aku dengar dio,@chowsannn,SaN ,0,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
MULA MULA JE NI,@melkacakk,melkacak ,4,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
bang kenal pun x siapa dia😅,@justchillinwithwho,justchillinwithwho ,2,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
aku tak terpengaruh pom dgn rafizi nie,@_sis.aya,sɪs_ᴀʏᴀ ,4,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
x kenal,@zaynfez,zayn. ,0,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
betul sangat,@mama31_24roses,🌹 roses ,0,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Peja… sbb ulasan mee karinya membuatkan sy rasa nak makan jugak.,@adie8461,Farisal Arissa ,0,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
pn 🥰,@hambayghina_,hambayghina_ ,2,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
org dulu2 ckp..byk ckp..tp kje x jln😅,@amirshaifol,amirshaifol ,4,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Member rafizi sendiri dri parti lawan KJ,@queopie,QueOpie ,0,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
betul atau tidak belakang cerita . kalau betul tak pe . kalau tak... ?,@ala0171,ala0171 ,0,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Betul atau tak ? tu blakang citer 😅😅 UNDI PN,@son______3,Son_ ,4,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"dia cakap 10 , 13 tak boleh percaya",@nzrah18,Kabayan ,2,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"KJ, Shahril Hamdan, RR & Nurul Izzah, Anthony Loke, Isham Jalil",@imaanhairil,imaanhairil ,0,0,2022-11-18,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
PN Pilihan Terbaik ✅✅✅👍👍👍,@yumakul,abumundzir ,3,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
🥰,@lynnarosse_,Lynna Rosse ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"ya. dia sangat bijak, baik Dan sangat jujur. dia umpama malaikat",@bahagiacintaaa,cinta ,1,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
kene bayar ke nii,@lolaellau,quella ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
it's simple berani kerana benar😁🥰,@syafixs,Encik Ultraman ,1,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
contoh utk anak2 muda bangkit petahan hak rakyat melaysia,@fatimahsites657,Siti Fatimah ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
"mmg pun,rafizi muncul balik hidup balik pkr..",@juzjuz86,joe86 ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
RR TERBAIKK,@najmudn_,najmuddinmusri ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
kat parlimen sya nmpk.....mntri pas siapatah namanya..... ketua pemuda kot,@yazid_faisal,Yazid faisal ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
DSAI tak pernah salah pilih HAR🔻PAN💪💪💪,@exciterx150,ᏒᎬmᏢᎥᏆ 𝚈15√ ,2,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Sbb fitnah PH naik kali ni,@nashtrk,NASHTRK ,0,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
Rafizi is the next candidates utk pm,@absolute5496,Absolute ,3,0,2022-11-17,2023-01-30,https://www.tiktok.com/@thaqibshaker/video/7164602686719921434,8745,990,231,2022-11-11
