comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
HANCINGGGGGGG,@fadzlymdshirat,fadzlymdshirat ,0,0,2022-12-13,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Dah jumpa kerrr,@munaamly,Munazirah Amly ,0,0,2022-12-10,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Azam baki tgh layan drama tu,@manglaksa,Mang ,0,0,2022-12-8,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂 kita dah bgi pluang buat pyokong ph jdi tggu jer 5tahun lgi bgi jer mereka pluang😂,@maxxkazuya83,Maxx ,2,0,2022-12-8,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"berpusing2 dah ni..nak masuk simpang mana tak tahu dah ni, langgar tembok dekat depan jela..wakkakakak.",@t0kek_jalanan,T0KEk JAlaNan ,1,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
@ur step bro pasty paling mantap,@heartbreakers68,R🖤 乂𝐖𝐈𝐁𝐔𝐒𝐎𝐅𝐓 < ,1,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Tergagap2 nak explain😂,@fuadg18,Fuad_GS ,1,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"sebelum PRU...(singa)
menang PRU..(Spin)",@mijikofruito,mijikofruito ,4,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Hahhaha saya putar selagi boleh halimmm,@jackslk2,jack slk ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂aloo222 ane pon tarak paham ini orng cakap... kelentong kelentong tong2 p kelen.. 😅😅,@transporrter_j,transPorter_J ,3,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Hancingggg...😆,@azmannazman83,azmanariffin78 ,1,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
alhamdulillah saya undi PN #bersihdanstabil,@ctnoraniah,ctnoraniah ,1,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
walk the talk laa YB RR 😁,@yusnitayaakob,YusnitaYaakob ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
you know...you know me😏😏😏,@aimasob,aimaSob ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
kaki spin arrrrhhhh😂,@edd_ramley,Edd Ramly88 ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
ni sama macam malam ni menang esok 1.50,@adzharraffieiaz44,adzhar raffiei ,1,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
yg ini sebelum bila selepas lain sebab nak jaga jawatan...,@user7677608507033,user7677608507033 ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂,@lats840,lats familys ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
azam hassan hadir nii,@paktamhjazam,paktamhjazam ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
kepala dah dibasahi mereka buat salah pun x nampak dah,@_silenttttt,Muhammad Hasyim ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Anugerah Pelakon Popular Tahun Ni Memang Dia Dapat Kompom Mat,@amerikah501,americano ,1,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
hahaha nice man,@for.us.by.us,for.us.by.us ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Hahahah hancing😂😂😂,@reall174, ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂 apo,@zaiyanizainudin,Zaiyani Zainudin ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
xsabaq nk tgk formula ekonomi dia ni😁😁,@encik_yon,Encik_Yon ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
terbaikk,@careyoll,King ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂,@honornation60,Honornation60 ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
msa pc tu.. tnjuk jer video msa dia bckp tu..baru ingt smula ingtan yg da dia lupa tu,@azwanrazak58,Tobitatsu ,3,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
ala bos..jgn serius sgt..depa ni xtw pn y depa boley menang..so depa ckp la apa pn..😅😅,@annaz827,ℙ𝕒𝕡𝕒_𝔸𝕟𝕟𝕒𝕫 ,2,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Hari geng Sakau . ..masyukkKK bersama mat Sakau.,@dreggeztv,DREGGEZ ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
saya putar haliiiimmmm...wang besar..wang besar.. 😂😂😂,@qisekai29,Qisekai29 ,1,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
hahaha seb Pak jahid .. kalau dia Cari Azam Baki..kena la pak jahid,@haz1qazwar,ziq 💤 ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
kite putar lg halim..,@aizif,Mohd Raizif ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
hbis dia ckp apa masa kempen hari tu...dh menang ckp lain plk...sy putar lg rakyat malaysia,@sangkaluka,Sangkaluka Gaming ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"pusing selagi boleh YB, selagi bernyawa terus kn..",@abezultanahitam,Abe zul ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
hahaha😂,@norsuhaila8990,nor suhaila460 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
hahaha 😂😂😂,@yusri2409,@yie2409 ,0,0,1-12,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"saya dimaklum...
dimaklum kan😂😂",@peceyazmi,Pecey Azmi ,0,0,2022-12-29,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
brud,@ambonije,xx ,0,0,2022-12-16,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
tiba2 gagap lorr gagap ....yg gitu gitu...😆,@venom_ozzy,Venom_Ozzy ,0,0,2022-12-9,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
haaa pusing,@dass9407,dass9407 ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
nak cari buat apa....penyamun dah jd kawan😂,@adidah1972,abah72 ,11,0,2022-12-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
apo nk jadi dah tau dia kaki po mu lak,@dedeahasnihydroga,dedeahasnihydroga ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
mampoih mat formula dah pening😂😂😂,@mankz67,man kz ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
lidah bercabang,@ketung085,Ketung ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
spinerrrrr winnnnn,@roslinda_inda1987,roslinda_inda1987 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
jenuh aku scroll cari komen geng hancing xda plak..😂,@nizamzainal363,𝖓𝖎𝖟𝖆𝖒_𝖟𝖆𝖎𝖓𝖆𝖑363 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
kaki kencingg ni bdkkkkk,@user5539116817210,johari ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
smpai skarang xtrcari...penhasuttt,@othmanrobi4,othmanrobi4 ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
memang poyoooooooo,@shahfrimansor,ShahfriMansor ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
macam badut pulak dah..😂,@wongsugieh,Wong Sugieh ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"klu dh mmg kaki spin,ape kenyataan pn dia spin..nate lapiji",@wanjebat66,wanjebat66 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
parti politik yg nak menang pru..mmg kena mcm nih...semua parti sama ja...so jgn taksub..anggaplh ahli politik tu dok bawah tapak kaki..,@snikmat2,Din Nik Mat ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
nk carut boleh x?,@MS4wLjABAAAAB8Rvuo0E4gxpA9c1lsLCp1xmn9KyPTAHQ-WeOD3nu_pHxJxXY7iP4YXm5lgl7OCM,user4167979611179 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
dengan tahi busuk dia ag😂😂,@user6647799423495muhamad,mat77 ,0,0,6d ago ,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😝😝😝,@elsonorzemaria,ELSonor ,0,0,1-22,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
saya putar selagi bolehhhh,@miowmiow2022,MiowMiow ,0,0,1-21,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Aku doakn rafizi ni mati nti dlm keadaan khusnolkhotimah,@lan1812_b8,lan_jibril18 ,0,0,1-17,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
raPIGy,@mijeazmizan,mije @ mizan ,0,0,1-8,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂 blom mng ckp laen... dh mng.. kata laen laa plak.. org ker mhluk asing nie... 🤣😂,@yeopbentayan,YeopBentayan ,0,0,1-5,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
Lidah bercabag,@toksu16,Tok Su ,0,0,1-4,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
mn pengundi ph...bangang la sampai mampos😂,@mujibbknnamasbnr,Muhammad_Mujib ,1,0,1-3,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"😂😂😂😅😅😅
tergagap-gagap disoal 😅😅",@sitizainab1505,@sitizainab ,0,0,1-3,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
terbelit lidah tergagap2 nk menjawab nya.. mana machai ph tk bau hancing ke🤣🤣,@nikhaikal04,Nik Fauzi ,0,0,1-1,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"Yahoo..medi setel,bong2 hampir2,mamak baling selamat",@msrcharter,MSRcharter ,0,0,2022-12-31,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"laaa,,kaki spin gak ke😂😂",@ayiesepitbiru,ayiesepitbiru ,0,0,2022-12-23,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
rakyat ingatlah kerajaan PH dn BN smpai kehari ini kejanya spin aja..smpai bla kita nk trus di kncing hidup2.?,@bulatbpr,bulatbpr ,0,0,2022-12-22,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
ermmmmmmm,@atimati8,aty mati ,0,0,2022-12-21,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
PH dari pemimpin sampai la barua bawahan…nyanyuk n kaki spinnnnn#wuttohlalu,@user1615058136114,Khu at_Kin ching ,0,0,2022-12-9,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
mcm bodo2 cpt2 la tangkap azam baki,@ca31gemstone,mmusa ca ,0,0,2022-12-8,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
"kamu kena ingat,dia ada rekod lidah bercabang😂",@ar.rahm4n,AR Rahman ,0,0,2022-12-8,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
hancing,@pendayah,penDayah ,0,0,2022-12-8,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
😂😂😂😂 tp jngn risau. pngikut2 nya tetap setia mnadah kebasahan dripada pimpinan terbaik mereka ni,@amirhd13,Amir Hajat ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
cai bru nk hirup udara segar lps pru trus msuk smula dlm gua..haprak btol kne kncing lgi..😂😂,@wanadib92,wanadib92 ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@rotibakar.007/video/7173540149534444827,10.5K,2023,1636,2022-12-5
