comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
"pasti ada hikmah PH YG Memerintah. . lepas ni, kalau masih nak pilih, mmg sangat pelik lah",@brofairuz,Fairuz Harun ,0,0,1-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"sudah² lah..time berpolitik udh abisss,,cuba ckp parti mne yg baik, dan pemimpim mana yg bersih, cuba ko ckp",@zhar665,azhar ,0,0,1-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
yg mengundi rafizi pun sama je,@along_ariff,Along_Ariff ,0,0,1-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
kesian fizi 😂😂😂😂,@atuk66,Atuk Abah ,0,0,1-15,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Apa2 pun kata sebagai rakyat beri peluang jaga rakyat kalau nak kira org politik semua sama tak puas lima tahun tukar😂😂😂,@user228980670617keriba,user228980670617Nana ,0,0,1-14,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Boss dlm politic apa pun boleh jadi.... Orang politik always play smart demi diri sendiri. Apa dia nak kisah masaalah rakyat.,@rahimrnz,rahimrnz ,0,0,1-11,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"Betulke, saya tetap sokong RR. sehingga kini.Demi perpaduan yg diinginkan YDPA kami ok jer.tak ada madalaj pun. naper nsk Fitnah😂😂😂😂",@paparock033,Ujang ,0,0,1-11,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Mesti yg komen dan buat kontent ni org PN...😅,@arjunatapa79,arjunatapa ,0,0,1-10,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
kesian rakyat malaysia.emmmm,@daudzahri,Daud Zahri ,0,0,1-10,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"Umno pernah kata masa kempen, no Anwar & Dap.",@muhdsofiadi,muhdsofiadi ,0,0,1-10,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
@rafiziramli,@saifulnizam099,eh Sepul la ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
wutohhhh,@m.s.h_4,S | H🌾 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
@puteriisarii,@amir_khan345464,lc135fi ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
hahahahahaaa.......,@poklieh,PoklieH ,0,0,1w ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
kecewa lg ke bro kalah pru itu hari😂,@sboglobe,sboglobe ,0,0,1-22,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
setuju,@pakyibjengkreng,Jamsharif ,0,0,1-12,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
setuju bang,@akupejuangbukanpetualang,DDin BP ,0,0,1-11,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"What date for this clip msg?
👇
Young generation waiting for
NEXT COMING ELECTION IS PRU16 > https://www.facebook.com/groups/1783091125406333",@knajidxox1,user6232244567155 ,5,0,2022-12-17,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"ok je.. dia... penyokong mana yg kritik tu..??? 😂😂
jgn caya sgt kalau kata dulu sokong skrg kritik.. tu puak PM SD tu.. 😂😂😂",@coffeen79,Firdee Ent ,0,0,1h ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
dunia akhir zaman mcm ni lah yg hat penyamun yg hat penyangak tu yg org pilih buat menteri hahahaha,@azaharmohamad42,azaharmohamad42 ,0,0,2h ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
rafizi meludah kelangit jatuh kahak atas muka sendiri😂😂😂,@bravosixth885,bravosixth885 ,0,0,5h ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
menteri fomula,@longbuaya,longbuaya ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Muka macam menteri fasola,@karimsulong,Zack ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"sy penyokong , tp tètap faham Rafizi . Penyokong mana yg hina Rafizi ?😅 rsanya xde pun 😅",@abangkacak915,abangkacak915 ,0,0,2d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
kau yang cakap bukan penyokong rafizi,@sanusiabdullahsam,sanusiabdullahsam ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
mungkin dia ada masalah amnesia kot. doakan yg baik-baik saja utk beliau😏,@boochi_9,N9_ ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
memang apa dia cakap semua tak boleh pakai pun.. Dari dulu pun Cuma putar2 je... 😂😂,@jeepida,jeepida ,0,0,3d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
Rafizi kan darah PENYAMUN,@liaw18,@Hj. Liaw ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"More to come. Naik dgn fitnah ni, Tak de yg kekal. Dulu bukan main lagi dgn cemuh keji cerca segala bagai kat PM6. Allah tak tido!! Just u wait YB",@nile_moses84,Nile Moses ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
"Hahaha, Rafizi BODOH!!!!!!!! Manalah dia ada Pengalaman!! Tin Kosong!!!!! Betul!!!",@kingzy73,user4335390784948 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
sapa sokong dia?,@haffis2812,haffis2812 ,0,0,4d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
ckp banyak buat ape..mari lah jatuh kn dia cpt..rakyat takot ke...,@jiwakacau776,jiwakacau ,0,0,5d ago ,2023-01-30,https://www.tiktok.com/@tiktokybviral/video/7177975649834110214,17.5K,2161,1830,2022-12-17
