tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@drrazamramli/video/7135246203519896859,Akaun Twitter Anwar Ibrahim Digodam #PRU15  #anwaribrahim  #rafiziramli ,#PRU15 #anwaribrahim #rafiziramli,drrazamramli,138.3K,2022-8-24,2023-01-30
https://www.tiktok.com/@ulekmayang.com/video/7115344068036644122,Tugas dia menghasut. Formula dia semua auta. #RafiziRamli ,#RafiziRamli,ulekmayang.com,17.1K,2022-7-1,2023-01-30
https://www.tiktok.com/@myrealpolitik/video/7121259370444246299,RAFIZI DAN PKR AKAN BUAT LAPORAN POLIS SELURUH NEGARA KEPADA NAJIB. NAJIB BAKAL BANDUAN. #najibrazak  #bossku  #mahkamah  #rasuah  #1mdb  #rafiziramli  #kongrespkr  #tangkapnajib  #rosmahmansor  #fyp ,#najibrazak #bossku #mahkamah #rasuah #1mdb #rafiziramli #kongrespkr #tangkapnajib #rosmahmansor #fyp,myrealpolitik,60.2K,2022-7-17,2023-01-30
https://www.tiktok.com/@melisavoogue/video/7137843843298364698,Kekayaan luar biasa anak² Atok. #fyp  #fypシ  #foryou  #tundrmahathirmohammad  ##mukhrizmahathir  #pakatanharapan  #rafiziramli  #dapmalaysia  #pejuang  #politikmalaysia  #malaysia  ,#fyp #fyp #foryou #tundrmahathirmohammad #mukhrizmahathir #pakatanharapan #rafiziramli #dapmalaysia #pejuang #politikmalaysia #malaysia,melisavoogue,464.3K,2022-8-31,2023-01-30
https://www.tiktok.com/@sinardailymy/video/7121146218633284890,“Embarassing” on voting system problems #RafiziRamli  #Rafizi  #PKR  #PKRCongress  #voting  #election  #fyp  #foryourpage  fypp,#RafiziRamli #Rafizi #PKR #PKRCongress #voting #election #fyp #foryourpage,sinardailymy,73K,2022-7-17,2023-01-30
https://www.tiktok.com/@jason.yew/video/7166818297088953626,PN bayar budak untuk buat kandungan TikTok #PRU15  #AyuhMalaysia  #KitaBoleh  #Harapan  #rafiziramli  #partikeadilanrakyat  #keadilanuntuksemua  #foryou  ,#PRU15 #AyuhMalaysia #KitaBoleh #Harapan #rafiziramli #partikeadilanrakyat #keadilanuntuksemua #foryou,jason.yew,343.3K,2022-11-17,2023-01-30
https://www.tiktok.com/@rafiziramli/video/7128348423450840347,#rafiziramli  #ayuhmalaysia  #keadilan  #pkr  #trakdatanglagi ,#rafiziramli #ayuhmalaysia #keadilan #pkr #trakdatanglagi,rafiziramli,58K,2022-8-5,2023-01-30
https://www.tiktok.com/@pemudapasdunalurlimbat/video/7146568010252160282,"Rafizi Ramli kena tengok ini, ribuan rakyat bersama Tuan Guru Presiden PAS yang kami sayangi. #fyppppppppppppppppppppppp  #TeguhPertahan  #PAS  ",#fyppppppppppppppppppppppp #TeguhPertahan #PAS,pemudapasdunalurlimbat,272.9K,2022-9-23,2023-01-30
https://www.tiktok.com/@chiefofmalaysianpolitics/video/7155544005562928410,Beza @rafiziramli  PH vs @Johari Abdul Ghani  BN dalam beritahu mengapa ringgit lemah 😂  #fyp  #fypシ  #foryou  #foryourpage  #viral  #pakatanharapan  #barisannasional  #pru15  #malaysia  #trending  #like  #muda  #comedy  #repost  #viralvideo  #funny  #ootd  #tiktokmalaysia ,#fyp #fyp #foryou #foryourpage #viral #pakatanharapan #barisannasional #pru15 #malaysia #trending #like #muda #comedy #repost #viralvideo #funny #ootd #tiktokmalaysia,chiefofmalaysianpolitics,173.8K,2022-10-18,2023-01-30
https://www.tiktok.com/@rafiziramli/video/7159130831624162562,Modal BN & PN dalam pilihanraya ini hanya satu: PKR & PH jual aset negara. Yang paling banyak diulang ialah kononnya aset Tabung Haji dilelong.,#,rafiziramli,337.2K,2022-10-27,2023-01-30
https://www.tiktok.com/@jason.yew/video/7136966019767078171,Muhyiddin jangan cari pasal dengan Rafizi #rafiziramli  #AyuhMalaysia  #IniUsahaKita  #KEADILAN  #KEADILANuntukSemua  #foryou ,#rafiziramli #AyuhMalaysia #IniUsahaKita #KEADILAN #KEADILANuntukSemua #foryou,jason.yew,754.2K,2022-8-29,2023-01-30
https://www.tiktok.com/@jason.yew/video/7160939178530753818,Zahid nak 'bunuh' kerjaya politik KJ? #PRU15  #AyuhMalaysia  #KitaBoleh  #Harapan  #rafiziramli  #partikeadilanrakyat  #keadilanuntuksemua  #foryou  ,#PRU15 #AyuhMalaysia #KitaBoleh #Harapan #rafiziramli #partikeadilanrakyat #keadilanuntuksemua #foryou,jason.yew,1.1M,2022-11-1,2023-01-30
https://www.tiktok.com/@fiza.hashim2/video/7121582290290904346,Syok tengok Najib Razak bergasak dengan Rafizi Ramli #najibpenyamun  #rafiziramli  #fypシ゚viral ,#najibpenyamun #rafiziramli #fyp,fiza.hashim2,23.9K,2022-7-18,2023-01-30
https://www.tiktok.com/@jason.yew/video/7072234653171715355,@rafiziramli  bila kembali ya? #PRNJohor  #SuaraRakyatJohor  #VoicesOfJohor  #柔佛人民的心声  #ஜோகூர்மக்கள்குரல்  #PKR  #undiPKR  #nurulizzah  #rafiziramli  #foryou ,#PRNJohor #SuaraRakyatJohor #VoicesOfJohor #PKR #undiPKR #nurulizzah #rafiziramli #foryou,jason.yew,145.5K,2022-3-7,2023-01-30
https://www.tiktok.com/@malaysiatimes/video/7117264004560473371,Dato Seri Anwar Ibrahim menjelaskan situasi sebenar ketika Lim Guen Eng menjadi menteri kewangan 👍#AnwarIbrahim # Reformasi # AmiruddinShaari # SaifuddionNasution # AthonyLoke # NurulIzzahAnwar # KamilMunim # DrDzul # RafiziRamli#A damAdli # KeadilanRakyat # Keadilan # PKR # PakatanHarapan # AyuhMalaysia # Seangkatan # fyp # foryourpage ,#AnwarIbrahim #A,malaysiatimes,497K,2022-7-6,2023-01-30
https://www.tiktok.com/@kh_ikram/video/7121254924532469018,Rafizi Ramli Timbalan Presiden #kongressnasionalkeadilan  #partikeadilanrakyat  #yakinirakyat  #ayuhmalaysia ,#kongressnasionalkeadilan #partikeadilanrakyat #yakinirakyat #ayuhmalaysia,kh_ikram,77.1K,2022-7-17,2023-01-30
https://www.tiktok.com/@muhdtarmizisik/video/7192519037203549466,#hari  #terduduk  #malaysia  #rafiziramli  #menteriekonomi  #kerajaangagal  #ph  #pakatanharapan  ,#hari #terduduk #malaysia #rafiziramli #menteriekonomi #kerajaangagal #ph #pakatanharapan,muhdtarmizisik,435.3K,4d ago ,2023-01-30
https://www.tiktok.com/@jason.yew/video/7137135329365986586,Najib tekan Rafizi bila Skandal 1MDB dibongkarkan #skandal1MDB  #najibrazak  #rafiziramli  #AyuhMalaysia  #IniUsahaKita  #KEADILAN  #KEADILANuntukSemua  #foryou ,#skandal1MDB #najibrazak #rafiziramli #AyuhMalaysia #IniUsahaKita #KEADILAN #KEADILANuntukSemua #foryou,jason.yew,197.9K,2022-8-29,2023-01-30
https://www.tiktok.com/@rafiziramli/video/7123152943917878555,Tiktok pertama! Mula2 dah RM1.5b 🤣,#,rafiziramli,384.9K,2022-7-22,2023-01-30
