comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
takpe la.sekarang tengah menahan diri dari makan ayam. ikut saranan menteri,@aesypeasy,easypeasy lemon squeezy ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
hancur menteri mcm ni,@alongbp79,along ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"lempar je mic mcm matsabu buat
Tu formula matsabu",@areffyunus,user2090378065109 ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
kami yakin kerajaan PH tak akan lama memerintah.. PAS PN MN Tetap di hati rakyat Malaysia ALLAHU AKBAR ✊✊☝️,@nasimnasim4332,nasimnasim4332 ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
mat sembang putar alam,@babahzola,CikManapKong❌️ ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
indah khabar dari rupa,@mohd.feroz4832gmail.com,ferozm9hd ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Auuu..,@aciparc,Aci ,0,0,2022-12-26,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
SEMPAT LAGI MELAWAK RR 🤣,@bypariak,#Bypariak 🔥 ,0,0,2022-12-25,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
tbaik ph,@mayranceoj,mayrance oj ,0,0,2022-12-25,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
mulut da sengeet tuu,@mohdkoysh,Mohd Koysh ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
menteri gila,@rahayualiashraff,orkid ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
rafozi funny😂😂😂😂😂😂the best,@jacjting,jackting ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
harap dia tak saman mic yg jalan 😂😂😂,@mazrimamat5,abu nawas ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
canteknye klau masuk.maharaja lawak.... 2023,@user88198131033554,user88198131033554 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
suka tengok smua Menteri PH smua klakar2 lah😅😅,@imkeypo,imkeypo ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
hancing 😂😅,@org_tranung,org tranung ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
mic je pon jadi punca hilang fomula kot😁😂,@bromanbotak,user2449300117139 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Kalau penuh.. Xyah letak kan senang,@mhdaiman01,MhdAiman_ ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"-skrg ayam mahal jgn mkn ayam
-nnt rmah mahal jgn bli rmah
-kreta mahal jgn beli kreta
-mkn mahal jgn mkn😂
-kos mati mhal jgn mati😂😂",@johnandrianss,john ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Menteri telur,@farid.adli,farid.adli ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
cap ayam,@abangkulim,abang kulim ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"ikut mat lembu badut ternakan dapa tu
.baling aje mike.",@azmii640,azmii640 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
nasib kita la dapat menteri macam ni 😌,@zackryan7,- ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
seronok tgok sarkas ke min😂😂,@abuuwaisalfatehalayubi,abuuwaisalfatehalayubialqutuz ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Semua sebentuk 😂😂😂😂😂lakalaka,@ruel_lia,ruellia ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
klu menteri bawah anuaq cap ayam ..agak2 yg ataih dia cap apa la agaknya..,@nazz19761,nazz19761 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
SUSAH NAK PUTIHKAN HATI WALAUNN YANG HITAM LEGAM,@faizal2574,Faizal ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
recoder kalau atas meja,@moderetors,merah ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
belacan,@smith301181,Fazil_Smith81 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Bos pun sama😂,@sharifahmahfuzah,Princess🤍prince ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"Statement positif yg byk menunjukkan menteri buat kerja, bukan byk cakap tapi tak serupa bikin mcm dulu2.",@nentendoken,neentendoken ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
kalau x lawak bukan ph nama ny😂😂,@kamariahhairani,kamaria ,1,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
amik meja sedbord ja fizi😂😂,@nazriesyam,sulnazrie ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
mic banyak payah nak kelentong 😂,@xst71,-Danny- ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
sempoi,@zaleealia746,Prajurit Taksuka Vacsin😁 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
@rafiziramli lucu la awk nihh,@_kril85,Khairil Izwan ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"Dulu x pernh bawak statement ok je bagi formula2 menteri.. Sekarg statement senang jekn, x suka ayam jgn makam ayam 😂😂",@tembellala,Tembellaaa ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"tu cari jln nk membelit le tuuuuuu,,",@user4796224498330,mr sg.4796224498330 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
kaki temberang,@jokerrrrrrrrr1983,joker ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
dia ni paling lawakkkkk,@kurtlove294,deejahkhadeejah ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
bila wartawan pun dimaki..,@dilahgm,Dilah Selising ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
dok pikir mcm mana nk tipu lg🤣🤣🤣,@chemat2038,ABE MAT ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"Mcm mna ketua
Mcm tu jgklah anak buah
🤣🤣🤣🤣",@artemis_13_13,Artemis_37 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Makin botak tengah la membe dgn mic fone penuh pun mmbe dh penin😂😂😂,@persona9535,Persona9535 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Yb makan apa harini? 😅,@mynameissaitamon,SickEarLB6 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
"Betul lah cakap org tua2 dlu, kalau da jd YB auto x tahu apa2😂.. Otak jem terus hahaha",@cottonraindrop,🍭CoTtOn RaiNDroP🍭 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
menteri skrg semua takde telur 😂,@its.paradox.xxix,its.PARADOX.XXIX ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
pakar ayam..sorg pakar telor,@armmuslim89,Ducati89 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
dh bkan maid atas meja.ingt nk ltak aym plak atas meja...pening woi koyak ke😂😂😂,@adamzimto5441,Adamzimto5441 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
Cap ayam,@mrj2812,MRJ2812 ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
mmg pH ni xblh jd kerajaan sbb bodoh,@along1986_,along1986_ ,0,0,2022-12-24,2023-01-30,https://www.tiktok.com/@pokcikku/video/7180300404062702854,6297,755,221,2022-12-23
