comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
hancing,@be6658527,Andak ,2,0,2022-12-19,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
King of spin 😂,@ashrafmzln_,Ashrafmzln_ ,0,0,2022-12-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
raja fomular yg ke laut,@user5823256739686,Cakaran Pemberani ,2,0,2022-12-11,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
officer level rupoo eaa samo lh kita fizi..tpi know ko ckp manager..so aq pun manager jgk ke..hmm😅😅,@imxmen2_,imxmen2 ,3,0,2022-12-7,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Nnti lagi senang dia chong,@ka_3468,KATIPANG_68 ,1,0,2022-12-7,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
klw dlm syarikat manager kira eksekutif la...😁😁😁,@lanperak30,Lan Perak ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Manager teruh,@black_asta17,black_asta17 ,0,0,2022-12-7,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"tnye amran la,dye knal x piji ni..dye kje petronas.kejuruteraan tandas",@adammikail2509,Adammikail2509 ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Kalau di bagi pilihan berkawan antara badut dgn rafizi aku sanggup berkawan dgn badut 😂.,@bubuchaca84,Bubu Chaca ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Dah nama nye piji kaki kelentong,@harunyusof4,harun Yusof4 ,1,0,2022-12-6,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
PN terbaik,@zulefendy7,Zul Efendy ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Rafizi harus bertindak tegas dgn mrka yg mempertikaikn hal ini..jgn duduk diam bro...lawan tetap lwan....Terbaik Rafizi,@rogersbatok,Rogersbatok ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
kita putar lg rakyat,@sangkaluka,Sangkaluka Gaming ,0,0,2022-12-6,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Dah2 la tu,@alyas2019,Alya19 ,0,0,2022-12-4,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Apalah Lawak politik negara kita ni…… yg paling lawak penyokong mereka😏,@amhaonkim,amhaonkim ,1,0,2022-12-4,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Sapa xkenai. Dia boh boh hilang,@papares8,Papares ,1,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
jgan gila kuasa..mcm ne jadinya,@alie8641,@Alie8641 ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"5 tahun akan dtg,ekonomi Malaysia setanding US dan China..kata mahachai 🤣",@melayumudahlupa,melayumudahlupa ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Dia tetap pelajar terbaik,@zm8522,Zm8522 ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
rafizi formula sakau,@noorhayatiiman,Noorhayati Iman ,1,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"Rafizi..Menteri Ekonomi.,.Terbaik bro🥰",@user1600140055757,Jue 65 ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
😂😂😂 dunia tipu2,@dato.taufik,dato.taufik ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
terbaik rafizi...1mdb pun dh kna cekup😂😂😂😂,@iddiebada,EDBada ,1,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Alif keje dept apa? Level apa ya?,@adoress22,AdoreSs22 ,0,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Ada la team manager tu executive. Ataupun act manager ke byk lg pos manager2 kecik yg sbnrnya level executive.,@adoress22,AdoreSs22 ,2,0,2022-12-3,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
RAFIZI MANTAP 👍🏻👍🏻👍🏻,@hlmhlm2021,HERO ,0,0,2022-12-1,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
dia pandai ckp mcm bos dia,@azureen_azrina,azureen azrina ,0,0,2022-11-29,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Org PH memang percaya sgt ngan rafizi ni..dia sorg je betul,@norasmahaniyaacob,Noya noya ,2,0,2022-11-27,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Jangan la dia nie dilantik menteri Kewangan kalau @DSAI ikhlas nak naikkan ekonomi Malaysja.. lantik la Dato Johari yg memang bijak uruskan kewangan..,@naguibkaharudin,naguibkkmg ,3,0,2022-11-27,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"soalan mudah je bagi Rafizi......
tk percaya Cuba tanya @Rafizi",@flatlinetone9318,Jojohari ,1,0,2022-11-26,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"sprm Dan pdrm siasat tengok, Kata nak bersih dan stabil",@usop93elektrik,pak usop elektrik ,2,0,2022-11-26,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
PH akan kna knving dgn dia jga satu hr nti🤣🤣🤣🤣🤣,@zulpendang84,Zulpendang84 ,1,0,2022-11-26,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
kite percaya je lah rafizi ni😁😁mmg dah kuat putar alam dia ni,@alanlowet,Angler N9🇲🇾 ,2,0,2022-11-26,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
x pyhla ungkit dia pun dah bjaya.,@mamagojes2909,MamaGojes ,1,0,2022-11-26,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
rafizi wok,@chisiang493,chisiang493 ,0,0,2022-11-26,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Rafizi Ku at kin ching,@izzathz07,izzathz ,1,0,2022-11-18,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
wow Alif. siapa yg upah Alif ni. nanti Rafizi balas,@kevinawin,kevinawin ,1,0,2022-11-18,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
PN,@cn75578,cn75578 ,1,0,2022-11-17,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
undi PH😁,@mfauziosh,meriah ke? ,2,0,2022-11-17,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
mantabbbbb...kena undi PN ke ni?,@ayawchanamek,ayaw ,1,0,2022-11-15,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
sokong rafizi,@w.y6538,why6538 ,3,0,2022-11-14,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"terbaik rafizi..berani kerana benar.. untuk makluman, aliff ahmad ni dah tak boleh masuk fb dia..kerana kena kecam teruk",@muhamadhisyam574,muhamadhisyam574 ,4,0,2022-11-14,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"Terbaik Rafizi sebab tangkap lembu kat Kondo dan bagi dia pencen., Al najibul ke hotel kajang dan latip LCS bersara awal.",@kamarul_haizat,kamarulhaizat ,3,0,2022-11-14,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"mana dia ni,nyorok dah ka? Tolak PHenipu .Pilih PN kali ni #bersihdanstabil",@ctnoraniah,ctnoraniah ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
SPRM..LHDN .PDRM kena siasat sumber pendapatan dia Dari mana????,@jamilmatnoor,DOWA @ Souls ,1,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"rafizi ni petronas stesen minyak jela, jangan salah sangka",@renggosameon,en ,1,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Kabel kuat je umo 26 dh jadi manager or dh ada experience kerja company lain,@fmfnx1,fmfnx1 ,1,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Dia muncul time gini je. Pastu terselit semula. Opppsss,@ashley.cah,Ashley.Cah ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Hahaha kantoi,@mrhafizaw,mrhafizaw ,1,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
