comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
moga da hrpn...,@ilanasirilanasir,Ila Nasir Ila Nasir ,1,0,1d ago ,2023-01-28,5356,288,355
pehal la susah sgt nak luluskan...,@suhaimisaidan303677, ,1,0,1d ago ,2023-01-28,5356,288,355
tolong lh luluskan #kwspbersasar,@cintahati35,CINTA HATI ,0,0,1d ago ,2023-01-28,5356,288,355
dapat 1kali minta 2kali dapat 2kali minta 3 kali dapat 3 kali minta 4kali 😂😂 macam tu la seterusnya sampai la abis duit 😂😂😅,@aconghahaa,sepi ,0,0,1d ago ,2023-01-28,5356,288,355
semoga allah lembut kn hati PM.kami betul2 sedangvdlm kesusahan...,@norsitahramlan,Norsitah Ramlan ,2,0,1d ago ,2023-01-28,5356,288,355
Sbnrnya ada ke takda lg duit kita dlm kwsp tu? Better wang simpanan ni letak dlm akaun sendiri je,@fikri_zaki_,Fikri Zaki ,1,0,1d ago ,2023-01-28,5356,288,355
alhamdulillah,@navinsiti700,Fabian shop ,0,0,1d ago ,2023-01-28,5356,288,355
cepat2 tengok..ingatkan da ada info di luluskan..haishhh,@oyazel87,Oyazel87 ,0,0,1d ago ,2023-01-28,5356,288,355
doa terus bdoa..mgharap dan terus mgharap,@meimeihasnirah,Meimei Hasnirah ,0,0,1d ago ,2023-01-28,5356,288,355
hari2 sama jaa,@user79639354850911,jusri othman ,0,0,1d ago ,2023-01-28,5356,288,355
semua org nak hidup. tapi nak yg MCM mana .yg susah akan bertambah susuh,@iqeam_10,ayie ,0,0,1d ago ,2023-01-28,5356,288,355
sokong2,@idazuraidah0,Ida Zuraidah ,0,0,1d ago ,2023-01-28,5356,288,355
sokong²,@rizalyondaime5007,Rizalyondaime ,0,0,1d ago ,2023-01-28,5356,288,355
kami sokong...,@princessumashanmugam,Princess Uma Shanmug ,1,0,1d ago ,2023-01-28,5356,288,355
harap ada sinar utk kwsp 2.0 bagi kami yg memerlukan pgeluaran kwsp,@emimual,Emi ML ,1,0,1d ago ,2023-01-28,5356,288,355
kwsp tk lulus juga kita yg hilang rumah jom pi duduk rumah menteri. makan minum menteri tanggung.,@mummymill,mummymill ,3,0,1d ago ,2023-01-28,5356,288,355
moga jumaat trakhir bln ni moga allah melembutkn hati pm..luluskn kehendak rkyt,@nuralif3885,nuralif3885 ,1,0,1d ago ,2023-01-28,5356,288,355
semoga ada khabar gembira buat semua dihari Jumaat yg mulia ini..aminn,@roswati5185,roswati5185 ,0,0,1d ago ,2023-01-28,5356,288,355
Hadir,@awangbrader,awangbrader ,0,0,1d ago ,2023-01-28,5356,288,355
