comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
mami kalau bleh nk close akaun trus...bawak Kuar semua duit tu wat modal bisnes..buat simpanan sendiri lagi bagus,@mummyayu76,mamiayu ,2,0,1d ago ,2023-01-28,29K,1243,2799
Empat,@farislatif,Si peanut shah alam ,0,0,1d ago ,2023-01-28,29K,1243,2799
keja penat2 nak tambah duit lebih..last2 kena potong kwsp....harap boleh kuarkan dgn segera..takut x Dan tua nak pakai ja.....duit aku kot..,@joannanurulteoh,Joanna Nurul Teoh ,1,0,1d ago ,2023-01-28,29K,1243,2799
apalagi la pngundi anwar ni,@kay.mazlan,Kay 412 ,0,0,1d ago ,2023-01-28,29K,1243,2799
15k one off,@user985501729659,Maluapabosku ,0,0,1d ago ,2023-01-28,29K,1243,2799
saya sorg ja x kalut nk kuarkn duit kwsp sbp salah satunya xbnyk dlm tu 😂😂ckup2 ja nk bwk kluaq boleh tpi x berbaloii nak bek,@atiqahsims,atiqahsims ,0,0,1d ago ,2023-01-28,29K,1243,2799
kalau lah boleh unregister acc kwsp ni 🤣 susah nau nak keluarkan,@nurulnjw4,najwaaa ,1,0,1d ago ,2023-01-28,29K,1243,2799
@jann_9430 betul ke,@afina986,fin ,0,0,1d ago ,2023-01-28,29K,1243,2799
@Azrul Sobri betoi ka,@muhamadazlanz_official,Abang Security 🦍 ,0,0,1d ago ,2023-01-28,29K,1243,2799
kja klng skrg trok skit..kalau ot tak sebrapa..nak diorang ptong kwsp byk..kita nih dah byk nk settle🥺,@ainaaanordinn,𝒶𝓎𝓃𝒶𝓃ℴ𝓇𝒹𝒾𝓃🌼 ,1,0,1d ago ,2023-01-28,29K,1243,2799
"@Anuar Ibrahim Harap sangat dapat kelulusan 30k one off, betul2 membantu untuk pulih semula ekonomi keluarga",@kyleputra,KHAIRULHADI IBRAHIM ,1,0,1d ago ,2023-01-28,29K,1243,2799
pjuangan ttap pjuangan 💪..,@nurtiara__,Zombi2020 ,1,0,1d ago ,2023-01-28,29K,1243,2799
dh bole keluarkan ke,@mdbi_,MDBI_ ,0,0,1d ago ,2023-01-28,29K,1243,2799
"Mohon lah keluarkan, Saki baki hutang yang pkp dulu pun mungkin masih yang belum habis.",@sapiraanoah,Noah ,1,0,1d ago ,2023-01-28,29K,1243,2799
seyess mehh,@w4dien,w∆w∆@pr!L 🕊️ ,0,0,1d ago ,2023-01-28,29K,1243,2799
