comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
Rakyat sekarang tgh strugle..sekurang2 dgn pegeluaran kwsp boleh terik nafas lega masing2..terpulang mereka utk manage duit sendiri,@mamalong_qasih,Qasih azmiera ,1,0,2d ago ,2023-01-28,4361,315,191
tolonglh luluskn,@suguna3010,HUNTER🖤 ,1,0,2d ago ,2023-01-28,4361,315,191
sy kalau boleh keluar nk beli kereta sebijik,@asrikelantan3,asrikelantan ,0,0,2d ago ,2023-01-28,4361,315,191
banyak lagi di dalam ada satu ratus juta moga diluluskan la🙏🙏,@kevinmanchestercity,Kevin man city ,0,0,2d ago ,2023-01-28,4361,315,191
bila,@r0szura,mrosli ,0,0,2d ago ,2023-01-28,4361,315,191
mantaplah.. semoga permudahkan urusan..,@affandyalias,Affandy Alias ,0,0,2d ago ,2023-01-28,4361,315,191
sia sia sahaja,@apekxxl,Apeks ,0,0,2d ago ,2023-01-28,4361,315,191
DSAI tolong la luluskan cepat pengeluaran kwsp 2.0 bersasar (Acc 1/10k-50k one off).....🙏🙏🙏,@razalild81,RazaliLD81 ,0,0,2d ago ,2023-01-28,4361,315,191
dekat mana nak mohon?,@amsyar_324,413D ,1,0,2d ago ,2023-01-28,4361,315,191
semoga dipermudahkan urusan untuk luluskan semua yg mememrlukan,@edywayang,Mohd zaidi ,0,0,2d ago ,2023-01-28,4361,315,191
yg boleh keluarkan kwsp Ada pencarum2 aktif.yg kerja2 sendiri tingu sajalah.10k kebawah lupakan niat.,@mimpiabg,mimpiabg ,0,0,2d ago ,2023-01-28,4361,315,191
hadir support..,@norlinaselamat,norlinaselamat143 ,0,0,2d ago ,2023-01-28,4361,315,191
bg la kluar tu hak kami..kami memerlukan sgt2,@qasehnour,AIN 🖤🔰 ,0,0,2d ago ,2023-01-28,4361,315,191
ya allah permudahkan la urusan kwsp bersasar scepat mungkin,@srielvina5,Mayang5 ,0,0,2d ago ,2023-01-28,4361,315,191
"Hanya WebSite #kwsp, mana ada yg lain.",@ckdon_don,ckdon_don ,1,0,2d ago ,2023-01-28,4361,315,191
tolong luluskan kwsp kami 🙏🙏🙏😭😭😭,@annam3677,annam3677 ,1,0,2d ago ,2023-01-28,4361,315,191
ckup sgt nk kluar org masih bkerja,@mishahami5,mishahami5 ,1,0,2d ago ,2023-01-28,4361,315,191
berharap sgt..antara kajian yg blh membenarkan..kwsp x kan rugi tlg yg tersepit😔,@langsir72,Na langsir72 ,1,0,2d ago ,2023-01-28,4361,315,191
5k pun ok kami tdesak sgt2 nk tanggung kluarga,@jup6041,MJ ,1,0,2d ago ,2023-01-28,4361,315,191
😳😳😳,@farah_syae,@farsiah_syae ,0,0,2d ago ,2023-01-28,4361,315,191
kita blm tentu sampai tua klu ajal maut di tangan tuhan...kwsp ini yg mana msih keja boleh simpan blik smpi tua...,@anasuzana82,AnAkOnda ,1,0,2d ago ,2023-01-28,4361,315,191
tolonglah lulus kwsp bersasar 2.0 kami amat memerlukan,@amrajaafar75,amrajaafar75 ,0,0,2d ago ,2023-01-28,4361,315,191
🙏🙏🙏🙏🏡,@nantha888,user2181283185316 ,0,0,2d ago ,2023-01-28,4361,315,191
"saya harap Pm akan meluluskan pengularan KWSP kali ni.,kami amat memerlukannya",@cik_mimihayati,Mimie ,0,0,2d ago ,2023-01-28,4361,315,191
"semoga cpt lulusnya
kwsp.nk masuk api air di rumah ni",@azilahmohamed269,azilahmohamed269 ,0,0,2d ago ,2023-01-28,4361,315,191
kami amat memerlukan duit kwsp ..nak tlg Mak Saya yg tgh sakit buah pinggang..tlglh dsai .klrkan duit kwsp kami😔,@lehawan586,Leha Wan586 ,0,0,2d ago ,2023-01-28,4361,315,191
kmi rakyat mohon sngt2 dekat PM luluskan lah kwsp brsasar kerana kami rakyat sunguh2 terdesak bayanran bank yg trtunggak ramai sngt perihatin la,@suzanazana63,Suzanazana63 ,0,0,2d ago ,2023-01-28,4361,315,191
bgi lh yg kurang dri 10k tu semua duit kita org,@mohdjaafarfar107,Trangs83 ,0,0,2d ago ,2023-01-28,4361,315,191
Duit kwsp byk lg dlm acc.. Tolong lah luluskan.. Pengeluaran terakhir kami... Mohon diluluskan😂,@lizazee367,lizazee367 ,0,0,2d ago ,2023-01-28,4361,315,191
betul.. kami umur bawah 50 masih ada lgi simpanan dlm kwsp.. terutamanya akaun 1...,@juneaboo,@june aboo ,1,0,2d ago ,2023-01-28,4361,315,191
semoga dipermudahkan segala urusan kita semua 🤲 kami benar² memerlukan pengeluaran duit KWSP kami utk kelangsungan hidup.,@perindusepi1986,perindusepi ,1,0,2d ago ,2023-01-28,4361,315,191
kasi tinggal 1000 ka 500 ka ble je.,@mohdfirdaus501fir,maling kundang ,0,0,2d ago ,2023-01-28,4361,315,191
luluskan segera nk duit sendiri,@maysan013,Maymay ,0,0,2d ago ,2023-01-28,4361,315,191
Mohon Sgt diluluskan... Kos hidup tinggi...,@nurr_zann,nurr_zann ,0,0,2d ago ,2023-01-28,4361,315,191
bila la boleh buat pengeluaran ni,@koryna22,Koryna22 ,0,0,2d ago ,2023-01-28,4361,315,191
Tolong Lah Bagi Lulus Kwsp Rakyat Perlu Kan Wang Utk Terus Kan Hidup Utk Bayar Kan Sewa Rumah,@tgzamrizamri76,tgzamrizamri76 ,0,0,2d ago ,2023-01-28,4361,315,191
suri rumah b40 tolong pecepatkn kn kwsp kami,@lianasweet975,lianasweet975 ,0,0,2d ago ,2023-01-28,4361,315,191
lulus kan kwsp ..saya nak guna tahun ni,@haizan92,bunga aisy ,0,0,2d ago ,2023-01-28,4361,315,191
bersasar sikit x leh buat mendalah Anuar pun...lambat tul nk lulus,@bezza1975,user8002778800953 ,0,0,2d ago ,2023-01-28,4361,315,191
#kwspbersasar,@ninie_abdullah,Ninie_Abdullah ,0,0,2d ago ,2023-01-28,4361,315,191
Tolong kami perdana menteri,@ramranja,🌙☄️Ramranja ,1,0,2d ago ,2023-01-28,4361,315,191
mmg mncukupi pn..,@mqam1988,#MQAM/// ,0,0,2d ago ,2023-01-28,4361,315,191
saya ada 100k nak 10k ja😁,@azeezulkushaari,Azeezul Ku Shaari ,0,0,2d ago ,2023-01-28,4361,315,191
kerajaan byk alasan.nk labur duit kami pon.bg lah duit pengeluaran kwsp 2.0.pastu laburlah smpai lebam.,@skyyen75,Sky75 ,0,0,2d ago ,2023-01-28,4361,315,191
harap diluluskan ...dlm akaun kwsp lbih 100k lgi,@azmirmir90,azmir mir90 ,0,0,2d ago ,2023-01-28,4361,315,191
semoga dipermudahkan segala urusan,@sitnurjannah0,Siti Nur Jannah ,0,0,2d ago ,2023-01-28,4361,315,191
Follow back dia 1m da,@ttoy017,Awie££? ,1,0,2d ago ,2023-01-28,4361,315,191
yea hrap di luluskan lh lpas ni sbb dlm acc 1 lbih dri 20k dkat 30k kira boleh keluar ke?,@69keling,A♠™ 10♣® ,0,0,2d ago ,2023-01-28,4361,315,191
semoga dipermudahkan urusan,@4resyaa,4resyaa ,0,0,2d ago ,2023-01-28,4361,315,191
smoga diprmudahkn...sy dh xmncarum pn...,@mommy_iman,mommY_imaN ,0,0,2d ago ,2023-01-28,4361,315,191
kami nak 50k.,@aliamanshah4,aliamanshah4 ,2,0,2d ago ,2023-01-28,4361,315,191
#surirumah..moga dpermudahkan #kwsp,@zurinarazakzurina,Zurinarazak Zurina ,0,0,2d ago ,2023-01-28,4361,315,191
assalamualaikum support hadir,@azizistella,azizistella ,0,0,2d ago ,2023-01-28,4361,315,191
sbb cukup tu lh d minta...yg kwsp drpd i lestari alasan nya bnyk pencarum yg ada simpanan bawah 10k..apa punya alasan la,@skalotta,artzone ,0,0,2d ago ,2023-01-28,4361,315,191
"siap potong 11% tiap2 bualan untok kwsp,, dari situ kita dah lihat setahu berapa banyak kita simpan dekat kwsp dalm masa setahun",@m7abul,MUHAMMAD HASBULLAH ,0,0,2d ago ,2023-01-28,4361,315,191
saya baki akaun 1 ada 300k boleh ke???,@fad.fadzly,fad ,0,0,2d ago ,2023-01-28,4361,315,191
"saya baru pergi pejabat kwsp..urusan penama anak2 untuk acount saya..dah umur 50,kena bersedia sblm pejam mata",@sahrunizamsahrul,sahrunizamsahrul ,1,0,2d ago ,2023-01-28,4361,315,191
sangat memerlukan untuk kelangsungan hidup..,@noorsharmilasaad,Noor Sharmila Saad ,1,0,2d ago ,2023-01-28,4361,315,191
oi kerajaan cepat sikit kwsp 2.0 enak bayar hutang along 😳,@mohankumar14051,mohankumar14051 ,0,0,2d ago ,2023-01-28,4361,315,191
tolong luluska kwsp semua orang 🙏🙏 30k luluska kwsp 🙏🙏🙏,@saru123.com,sarah ,2,0,2d ago ,2023-01-28,4361,315,191
#kwspbersasar2.0#,@peggyyap_7825,Peggy Yap ,0,0,2d ago ,2023-01-28,4361,315,191
#kwspbersasar,@apekkokok_,APEK KOKOK ,0,0,2d ago ,2023-01-28,4361,315,191
tolongla luluskan kwsp 2.0,@roslenaaaa,rosse ,0,0,2d ago ,2023-01-28,4361,315,191
rakyat memerlukannya.... utk kelangsungan hidup,@lailafarrid,lailafarrid♥️♥️ ,0,0,2d ago ,2023-01-28,4361,315,191
"ape yg ssh sgt nk fhm kehendak pencarum, hutang kami da byk.. keje Pon xde, cane nk setel kan hutang2 yg tertunggak.. 😔",@almizan773,almizan ,1,0,2d ago ,2023-01-28,4361,315,191
#kwsb on,@tiyadiya7,tiyadiay ,0,0,2d ago ,2023-01-28,4361,315,191
Semoga dipermudahkan urusan,@alongjah,jah71 ,1,0,2d ago ,2023-01-28,4361,315,191
200k on off,@aliana81_,aliana81_ ,2,0,2d ago ,2023-01-28,4361,315,191
semuga kita semua sabar menunggu kelulusan pengeluaran KWSP tersebut...saya sendiri rasa cam penat menunggu..sabar sabarr,@cik_emarejab,cik_EmaRejab ,0,0,2d ago ,2023-01-28,4361,315,191
nk keluokn semua sbb da x mncarum...,@ecahecut80,ecahecut80 ,1,0,2d ago ,2023-01-28,4361,315,191
🤲🤲🤲,@cempaka_1563,cempaka_1563 ,0,0,2d ago ,2023-01-28,4361,315,191
"semoga dipermudahkan segala urusan.....
#kwspbersasar
💪🏻💪🏻💪🏻💪🏻💪🏻",@emmaamimi854,emma ,2,0,2d ago ,2023-01-28,4361,315,191
yallah semoga dipermudah urusan aminnnn2 yallah 🤲🤲,@ciknain0,ciknain0 ,0,0,2d ago ,2023-01-28,4361,315,191
semoga dapat berita baik.,@ramsumi8,Sumi  ,0,0,2d ago ,2023-01-28,4361,315,191
saya yg berkerja ni pun masih ssh nk survive apatah lagi yg tak berkerja.🥺🥺🥺,@asmah5644,asha5644 ,4,0,2d ago ,2023-01-28,4361,315,191
ckup ke x ckup duit pencarum....kenapa nk pertikaikan,@jiwa7773,jiwa7773 ,4,0,2d ago ,2023-01-28,4361,315,191
bagi jer laa kluar yg dh xmencarum tu...,@user922216816972,yanierazak ,2,0,2d ago ,2023-01-28,4361,315,191
RM50K on off,@capt.jacksparrow76,@tukkeb@y@n ,1,0,2d ago ,2023-01-28,4361,315,191
#kwspbersasar,@bellachenta,💕𝔟𝔢𝔩𝔩𝔞 𝔠𝔥𝔢𝔫𝔱𝔞💕 ,1,0,2d ago ,2023-01-28,4361,315,191
nk kelurkan semua sbb x mencarum dh.,@norasiahhjchesoh,norasiahhjchesoh ,2,0,2d ago ,2023-01-28,4361,315,191
Kluarkan semua patu tutup,@ummi_kitchen.78,Ummi kitchen ,0,0,2d ago ,2023-01-28,4361,315,191
on terus je,@duanduan642,duan duan ,2,0,2d ago ,2023-01-28,4361,315,191
nak keluarkan semua,@chempakaselatn4,chempaka@selatan4 ,4,0,2d ago ,2023-01-28,4361,315,191
kmk perlu kn kswp,@user4487729471598,user4487729471598 ,0,0,2d ago ,2023-01-28,4361,315,191
KAMI RAKYAT MAHU PENGELUARAN KWSP 2.0....JGN DI TUNGGU...DGN KADAR SEGERA DI LULUSKAN....,@lanpersona,LanPersona 79 ,3,0,2d ago ,2023-01-28,4361,315,191
luluskan KWSP,@putra6116,Putra3131 ,1,0,2d ago ,2023-01-28,4361,315,191
nak bagi keluar tu akaun 1 la..akaun 2 ramai dah hanyuttt😅,@ellyyanie108,ellyyanie108 ,2,0,2d ago ,2023-01-28,4361,315,191
luluskan KWSP,@zaleha275,zaleha275 ,1,0,2d ago ,2023-01-28,4361,315,191
tolong lulus kwsp pls 🙏🏽,@vani56243,vani ,2,0,2d ago ,2023-01-28,4361,315,191
tolong lh prihatin kami sngt2 memerlukan...,@mariasebli,Mariafazle ,2,0,2d ago ,2023-01-28,4361,315,191
sy mmg perlukan duit kwsp ni,@hanahisham8276,hanahisham8276 ,0,0,2d ago ,2023-01-28,4361,315,191
tolong la keluarkan kwsp kami,@user329551301093,Farhan fariz ,0,0,2d ago ,2023-01-28,4361,315,191
masalah keuwangan sampai ke perceraian...kerajaan masih x pandang serius 😟😟😟😟,@zuhailanizai,Zai ,2,0,2d ago ,2023-01-28,4361,315,191
Semoga dipermudahkan. luluskanlah #kwspbersasar asal baki cukup,@orkedreen76,reen76❤️ ,0,0,2d ago ,2023-01-28,4361,315,191
tlg lh prihatin utk kami..luluskan segera pngeluaran khas kwsp2.0 ini...kami smkin trduduk dan hutang x setel2 lg🥺,@roy_azmisyamkajang,Roy_Azmisyam kajang ,1,0,2d ago ,2023-01-28,4361,315,191
luluskan lah Sy memerlukan duit tu,@faizalfarisfiras,Faizal Farisfiras ,0,0,2d ago ,2023-01-28,4361,315,191
Kt Raya nanti dapat laaaa EPF,@selemramiahu311,selem ramiah ,0,0,2d ago ,2023-01-28,4361,315,191
Saya masih ada 120 ribu Boleh kluar 30 k,@selemramiahu311,selem ramiah ,0,0,2d ago ,2023-01-28,4361,315,191
