tiktok_link,tiktok_description,tiktok_hashtag,Username,Views,posted_date,extracted_date
https://www.tiktok.com/@manivanan_gowin/video/7159087480837311771,"""Azmin Ali, Apa Kelas Anak Jantan?!"" Siapa Anak Jantan Yang Tulen? #ManivananGowin  #AyuhMalaysia  #RafiziRamli  #nurulizzah ",#ManivananGowin #AyuhMalaysia #RafiziRamli #nurulizzah,manivanan_gowin,348.4K,2022-10-27,2023-01-30
https://www.tiktok.com/@potretkehidupan84/video/7166144517089856795,Tun jangan lupa jejak digital itu ada #rafiziramli  #pru15  #kelantan  #ayuhmalaysia  #pkr  #wanazizah  #kakwan  #anwaribrahim  #tokguru  #gv9  #pas  #pn  #bn  #pakatanharapan  #dokumentari  #sejarah  #inspirasi  #nurulizzah  #malaysia  #indonesia  #tambun  #perak ,#rafiziramli #pru15 #kelantan #ayuhmalaysia #pkr #wanazizah #kakwan #anwaribrahim #tokguru #gv9 #pas #pn #bn #pakatanharapan #dokumentari #sejarah #inspirasi #nurulizzah #malaysia #indonesia #tambun #perak,potretkehidupan84,218.6K,2022-11-15,2023-01-30
https://www.tiktok.com/@putribongsu4/video/7171411227145440539,Boleh try ! 😍 #tutorialnj  #tutorial  #tutorialhijab  #tutorialbawal  #bismillahfyp  #hijabstyle  #nurulizzahanwar  ,#tutorialnj #tutorial #tutorialhijab #tutorialbawal #bismillahfyp #hijabstyle #nurulizzahanwar,putribongsu4,238.8K,2022-11-29,2023-01-30
https://www.tiktok.com/@potretkehidupan84/video/7164506308979199259,Bang Mat memang tak pernah gagal buat lawak ha..ha.. ha.. #matsabu  #malaysia  #tambun  #inspirasi  #sejarah  #dokumentari  #pn  #bn  #pas  #gv9  #tokguru  #kakwan  #wanazizah  #pakatanharapan  #pkr  #ayuhmalaysia  #pru15  #nurulizzah  #amanah  #kelantan ,#matsabu #malaysia #tambun #inspirasi #sejarah #dokumentari #pn #bn #pas #gv9 #tokguru #kakwan #wanazizah #pakatanharapan #pkr #ayuhmalaysia #pru15 #nurulizzah #amanah #kelantan,potretkehidupan84,953.1K,2022-11-11,2023-01-30
https://www.tiktok.com/@fadzli.roslan/video/7162838347377855771,Penamaan Calon P044 Permatang Pauh #PakatanHarapan  #PH  #NurulIzzah  #Fyp  #anakmuda  ,#PakatanHarapan #PH #NurulIzzah #Fyp #anakmuda,fadzli.roslan,11.9K,2022-11-6,2023-01-30
https://www.tiktok.com/@potretkehidupan84/video/7139210661128654106,Reply to @mummymithmithhy  betul tu. Nurul Izzah ni dari umur 17 dah struggled dengan mak dia berjuang mempertahankan maruah dan keadilan ayahnya yang dipijak2. Menangis Izzah bila mak dia cerita balik apa dia buat masa umur 17 nak tolong ayah dia.  #wanazizah  #nurulizzah  #nurulizzahanwar  #anwaribrahim  #indonesia  #abangbomba  #bomba  #rafiziramli  #pru15  #ayuhmalaysia  #malaysia  #kakwan  #sajat ,#wanazizah #nurulizzah #nurulizzahanwar #anwaribrahim #indonesia #abangbomba #bomba #rafiziramli #pru15 #ayuhmalaysia #malaysia #kakwan #sajat,potretkehidupan84,417.3K,2022-9-4,2023-01-30
https://www.tiktok.com/@zamrihjyusuf/video/7167248615415614747,#fyp  #foryou  #menggalasharapanrakyat  #ayuhmalaysia  #nadirakyat  #hijaukuningnegeriku🌾  #nurulizzah  #paklong40  #alorsetar  ,#fyp #foryou #menggalasharapanrakyat #ayuhmalaysia #nadirakyat #hijaukuningnegeriku #nurulizzah #paklong40 #alorsetar,zamrihjyusuf,29.2K,2022-11-18,2023-01-30
https://www.tiktok.com/@meettgy/video/7172855439531576602,#fyp  #anwaribrahim  #najibrazak  #ismailsabri  #muhyiddinyassin  #abdullahbadawi  #tunmahathir  #nurulizzahanwar  #najwamahiaddin  ,#fyp #anwaribrahim #najibrazak #ismailsabri #muhyiddinyassin #abdullahbadawi #tunmahathir #nurulizzahanwar #najwamahiaddin,meettgy,1.8M,2022-12-3,2023-01-30
https://www.tiktok.com/@parti.keadilan.rakyat/video/7153528514862435610,Naib Presiden KEADILAN @n_izzah_anwar   Menyeru Semak  Status Pemilih di https://mysprsemak.spr.gov.my/semakan/daftarPemilih #NurulIzzah  #PakatanHarapan  #KEADILAN  #PartiKEADILANRakyat  #pru15  #pru  ,#NurulIzzah #PakatanHarapan #KEADILAN #PartiKEADILANRakyat #pru15 #pru,parti.keadilan.rakyat,531.9K,2022-10-12,2023-01-30
https://www.tiktok.com/@dsaiph0/video/7153524351021714715,AG pun tak berkenan tapi Pihak Mereka endahkan. #reformasi  #nurulizzah  #nurulizzahanwar  #Foryou  #malaysia  #undipakatanharapan  #RakyatNo1  #ayuhmalaysiaku  #anwaribrahim  #rafiziramli  #pakatanharapan  #votepakatanharapan  #tiktokmalaysia  #politics  #viral  #tranding  ,#reformasi #nurulizzah #nurulizzahanwar #Foryou #malaysia #undipakatanharapan #RakyatNo1 #ayuhmalaysiaku #anwaribrahim #rafiziramli #pakatanharapan #votepakatanharapan #tiktokmalaysia #politics #viral #tranding,dsaiph0,677.9K,2022-10-12,2023-01-30
https://www.tiktok.com/@pinography/video/7141372520724204827,TIDAK PERNAH KENAL ERTI PENAT. TERUS BERJUANG DEMI RAKYAT. @n_izzah  #nurulizzahanwar  #nurulizzahanwar  #nurulizzah  #fyp  #photography  #malaysia  #parlimen  #parlimenMalaysia  #Malaysia  #ayuhmalaysia  #umno #pkr #najibrazak #rasuah #perasuah  #my  #merdeka  #merdeka2022  #bangkit  #dunia #izzah  #foryou  #foryoupage  #fyppppppppppppppppppppppp  ,#nurulizzahanwar #nurulizzahanwar #nurulizzah #fyp #photography #malaysia #parlimen #parlimenMalaysia #Malaysia #ayuhmalaysia #umno #pkr #najibrazak #rasuah #perasuah #my #merdeka #merdeka2022 #bangkit #dunia #izzah #foryou #foryoupage #fyppppppppppppppppppppppp,pinography,129K,2022-9-9,2023-01-30
https://www.tiktok.com/@avp.world/video/7170337779191254298,🖤 #esekeli  #fyp  #foryou  #nurulizzah  #perjuangan  #fans  #pm10  #dsai  ,#esekeli #fyp #foryou #nurulizzah #perjuangan #fans #pm10 #dsai,avp.world,1.1M,2022-11-26,2023-01-30
