comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
permatang pauh bn akan rampas kembali....kami akan tawan🥰🥰🥰🥰🥰🥰🥰🥰hidup barisan nasional,@rizalrizal7349,rizalrizal7349 ,1,0,2022-10-24,2023-01-30,10.8K,298,270
sya punya crush dlm smgat reformasi hehe,@hanes1987,hanes1987 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
sokong bn,@rizalrizal7349,rizalrizal7349 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
bila time nak merayu undi. 😂,@123456numa,Numa Naila  ,1,0,2022-10-24,2023-01-30,10.8K,298,270
Permatang Pauh berubah undi BN,@lela_rtka,Lela Rentaka ,3,0,2022-10-24,2023-01-30,10.8K,298,270
idola sya love u😘,@aydaradhi,ayda🤍🕊️ ,4,0,2022-10-24,2023-01-30,10.8K,298,270
terbaik ph,@denelchie488,denel chie sarah@ ,1,0,2022-10-24,2023-01-30,10.8K,298,270
pemimpin Malaysia akan datang,@adajual2,adajual2 ,1,0,2022-10-24,2023-01-30,10.8K,298,270
hemmmm🤣🤣🤣🤣🤣🤣🤣,@rasyid_achipp,rasyid ,1,0,2022-10-24,2023-01-30,10.8K,298,270
generasi penerus...,@omengchan081371,OMENG CHAN 081371🇲🇨🇲🇾💖💞❤ ,0,0,2022-11-26,2023-01-30,10.8K,298,270
wah norr,@user2482182533239,R A F ,0,0,2022-11-20,2023-01-30,10.8K,298,270
cantik,@shahwalnizam,Shahwalnizam ,0,0,2022-11-8,2023-01-30,10.8K,298,270
pas terbaik,@azsuazsu,azsuazsu ,0,0,2022-10-25,2023-01-30,10.8K,298,270
PH💪💪💪,@user8733744960118,user8733744960118 ,1,0,2022-10-24,2023-01-30,10.8K,298,270
ayu,@malaysia.voice,mr alpha ,0,0,2022-10-24,2023-01-30,10.8K,298,270
tomey je,@yayangsr2010,Yayangsr2010 ,10,0,2022-10-24,2023-01-30,10.8K,298,270
"apa pun boleh buat,,,😂😂😂terdesak",@sha_6881,Sha 😉 ,0,0,2022-11-15,2023-01-30,10.8K,298,270
kata makcik pelakon handalan 😂😂😁😁,@user5759321910143,yakub tassim ,0,0,2022-11-15,2023-01-30,10.8K,298,270
tujuk pandai la tu,@aiminuudin,AIMINUUDIN ,0,0,2022-11-15,2023-01-30,10.8K,298,270
sendiwara musim pru....🤦🤦🤦🤦,@dariyahmokhtar,dariyahmokhtar ,0,0,2022-11-14,2023-01-30,10.8K,298,270
Klau menang pun nanti bt kenduri bg besaq kit pnggil ramai org jngn kroni2 saja kesian org tua2 pi kata hbs last bgkus bg kroni dulu 👎🏿,@tiycha,ｔｉｙｃｈａａ ,0,0,2022-11-9,2023-01-30,10.8K,298,270
"pelakon terbaik,bagi anugerah,.tepuk jgn x tepuk",@mr.arrogantttt,🏍️M®•aRroGaNt🏍️ ,1,0,2022-11-9,2023-01-30,10.8K,298,270
