comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
nk cari lebih,@aznanosman532,aznanosman532 ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
😁😁😁,@aninodri,@aninodri♥️ ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
"why worry, is the time now. She can access to the files n record now.....",@norashahriza,norashahriza ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
kalau dia ambil gaji mau sebulan du jaja😁😁😁,@awangdone,Awang Done ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
why Nurul is capable - DSAI is busy need somebody he trust to assist him,@ramdanj3135,Ramdan J ,3,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
"xape, biar lah izah duk pejabat, boleh jgk tengok2 sapa2 yg ponteng semasa2 dsai kerja luar",@roslihashim852,roslihashim852 ,1,0,2023-2-3,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
dia ada pengalaman ajk kes 1mdb yg tiada pd org lain,@azmanjaafar95,azmanjaafar95 ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
tanpa gaji laaaaaaaa lu pikir laaaaa apa laaaaa,@sailor815924,sailor815924 ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Setuju dgn u sis..,@imah_mohdali59,ImahMohdAli ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
"Good rasional thinking, Malayaia do not lack of talent, without salary is just deception for public to swallow",@zarilaz,Zar-Rajawali ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Mmg ramai yg layak tp nak ke orgtu bekerja tanpa gaji,@uminurul4775,ZAR INa ,2,2,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
setuju kak,@uchiamadara456,uchiamadara456 ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
terbaik,@sazali__,sazali ,0,0,2023-2-3,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
"Subhanallah MasyaAllah Tabarakallah Allahuakbar
Alhamdulillah",@user9249481984532,mai 66 ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
setuju Kak...,@arnasnasution452,arnasnasution452 ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Setuju👍👍👍,@wanazrul82,WanAzrul82 ,0,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Tak salah lantik anak...krn belum lg mendatangkan mudharat. lg pun musuh politik berada di mna2,@baimuaz,BAI MUAZ ,2,0,2d ago ,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
setuju sangat..,@noralaida,Noralaida ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
😂😂😂😂😂,@mohamadmokhtar271,mohamadmokhtar271 ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Yes your statmen is true.I and many more natizen too.,@md.kassim,Md.Kassim ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
Sebab sebelum ni hg tak kenal anwar... ramai yg dah kenal...come on la,@fadzil977,fadzil977 ,0,0,2023-2-4,2023-02-04,https://www.tiktok.com/@ainurhassim/video/7195181136845229318,259,133,86,2023-2-2,11.8K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/0a79b0ac6e68450bb456a6c84a063e87_1675258662?x-expires=1675530000&x-signature=FqKT50cjPPBA7S0WhPFFgjjkVYQ%3D
