comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link
tunggulah esok2 bini dia pon dia lantik...😂,@fayyadhdeeandra89,Deeandra Izalya ,0,0,2023-2-3,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
kerajaan anak beranak😂😂😂,@abg_nas_89,♛𝐴𝖇𝖌𝖓𝖆𝑆♛ ,0,0,2023-2-3,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
"nah ...korang yg undi kan, mendapatla😂😂😂",@haidaisma,💕 Cik Da💕 ,0,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
Pmx ni 10 ckp 20 seme terbang🤣🤣,@adukapri,adukapri ,0,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
apa yg dikatakan semua berbalik pd diri sndri.. Allah tunjukkn satu persatu sblm pemimpin yg adil bakal hadir.. dunia akhir jaman semua membongak... h,@mohamadfetery,Mohamad Fetery ,0,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
Walaun koyak😂😂😂😂,@mohamedimranmusa,mohamedimranmusa ,1,1,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
MKN popcorn dulu..nama anak papa😏barang xturun2 LG ni sakit hati..telur sebiji rm1 dah..,@wawa_boy84,wawa_boy84 ,0,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
meroyan tak abis...,@mr_doubledee,mr_doubledee ,1,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
🤔🤔😅,@nikmuhamadhaikal,Masuri ,0,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
madani tu bermaksud masukkan anak dan bini,@nazry1989,nazry1989 ,0,1,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
mau ke diorg dilantik tanpa gaji,@joehicno91x,inah ,0,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
terbaek nurul izza,@user1715876708588,zeno 4081 ,0,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
PMx nak kerajaan milik keluarga,@ketung085,Ketung ,1,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
Tgk balik pas dlu😂.. berapa ramai anak beranak pas,@panglimapakatanharapan,Panglima Pakatan Harapan ,1,0,2023-2-2,2023-02-07,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,2023-1-29,487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D
