comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,sentiment,video_caption
sy masih x faham apa yg dia buat dri thn lps sampai sekarang 😁,@zulzhm_,ZULI_24 ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
Kita kne bersangka baik.. Mungkin PMX sudah nyanyuk…maaf kan la dia,@aredi92,King of Racun : AH®️ ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
😂😂😂,@uza16mu,uzap raldo ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
prinsip dia janji jadi pm dan ini semua ana yang punya,@fatimahbintimohdisa,fatimahbintimohdisa ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
letak jawatan je,@brodermi08,Mohdazmi Azmi525 ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,neutral,test
Lagipun izzah dulu ahli jawatankuasa kira2 wang negara (PAC) jadi pengalaman sudah ada. Pelantikan izzah dsai sudah pasti berfikir panjang,@malaysiannobody,Malaysian Nobody ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
😂😂😂😂😂😂😂😂,@klburger6393,#klburger ,1,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
dunia dh nk kiamat...tggu Mase nya shj...Mase begitu pantas berlalu...Allahuakbar...,@zaidizaidi3148,Hehe ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
hidup anuar ibrahimmmm,@pida_nobiko,red army solviet RUSSIA URAQQ ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,positive,test
@anwaribrahimofficial @Rafizi nepotism government,@ranisufian,ranisufian ,0,0,"Wednesday, 1 February, 2023",7/2/2023,https://www.tiktok.com/@thaqibshaker/video/7194042940719664411,26.6K,4830,2540,"Sunday, 29 January, 2023",487.6K,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/o425vLWnnQWf4sMfAWeBearucEbUHlGIDpgQEr?x-expires=1675767600&x-signature=K6avg3NbKjSNMmfT9x9n7EOhbnE%3D,negative,test
